aligner,analysisDate,biosampleId,id,individualId,info,pipelineName,pipelineRef,runId,variantCaller
bwa-0.5.9,2015-09-30,HG00096,UK1_analysisId_1,HG00096,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000001,GATK4.0
bwa-0.5.9,2015-09-30,HG00097,UK1_analysisId_2,HG00097,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000002,GATK4.0
bwa-0.5.9,2015-09-30,HG00099,UK1_analysisId_3,HG00099,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000003,GATK4.0
bwa-0.5.9,2015-09-30,HG00100,UK1_analysisId_4,HG00100,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000004,GATK4.0
bwa-0.5.9,2015-09-30,HG00101,UK1_analysisId_5,HG00101,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000005,GATK4.0
bwa-0.5.9,2015-09-30,HG00102,UK1_analysisId_6,HG00102,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000006,GATK4.0
bwa-0.5.9,2015-09-30,HG00103,UK1_analysisId_7,HG00103,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000007,GATK4.0
bwa-0.5.9,2015-09-30,HG00105,UK1_analysisId_8,HG00105,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000008,GATK4.0
bwa-0.5.9,2015-09-30,HG00106,UK1_analysisId_9,HG00106,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000009,GATK4.0
bwa-0.5.9,2015-09-30,HG00107,UK1_analysisId_10,HG00107,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000010,GATK4.0
bwa-0.5.9,2015-09-30,HG00108,UK1_analysisId_11,HG00108,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000011,GATK4.0
bwa-0.5.9,2015-09-30,HG00109,UK1_analysisId_12,HG00109,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000012,GATK4.0
bwa-0.5.9,2015-09-30,HG00110,UK1_analysisId_13,HG00110,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000013,GATK4.0
bwa-0.5.9,2015-09-30,HG00111,UK1_analysisId_14,HG00111,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000014,GATK4.0
bwa-0.5.9,2015-09-30,HG00112,UK1_analysisId_15,HG00112,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000015,GATK4.0
bwa-0.5.9,2015-09-30,HG00113,UK1_analysisId_16,HG00113,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000016,GATK4.0
bwa-0.5.9,2015-09-30,HG00114,UK1_analysisId_17,HG00114,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000017,GATK4.0
bwa-0.5.9,2015-09-30,HG00115,UK1_analysisId_18,HG00115,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000018,GATK4.0
bwa-0.5.9,2015-09-30,HG00116,UK1_analysisId_19,HG00116,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000019,GATK4.0
bwa-0.5.9,2015-09-30,HG00117,UK1_analysisId_20,HG00117,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000020,GATK4.0
bwa-0.5.9,2015-09-30,HG00118,UK1_analysisId_21,HG00118,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000021,GATK4.0
bwa-0.5.9,2015-09-30,HG00119,UK1_analysisId_22,HG00119,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000022,GATK4.0
bwa-0.5.9,2015-09-30,HG00120,UK1_analysisId_23,HG00120,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000023,GATK4.0
bwa-0.5.9,2015-09-30,HG00121,UK1_analysisId_24,HG00121,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000024,GATK4.0
bwa-0.5.9,2015-09-30,HG00122,UK1_analysisId_25,HG00122,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000025,GATK4.0
bwa-0.5.9,2015-09-30,HG00123,UK1_analysisId_26,HG00123,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000026,GATK4.0
bwa-0.5.9,2015-09-30,HG00125,UK1_analysisId_27,HG00125,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000027,GATK4.0
bwa-0.5.9,2015-09-30,HG00126,UK1_analysisId_28,HG00126,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000028,GATK4.0
bwa-0.5.9,2015-09-30,HG00127,UK1_analysisId_29,HG00127,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000029,GATK4.0
bwa-0.5.9,2015-09-30,HG00128,UK1_analysisId_30,HG00128,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000030,GATK4.0
bwa-0.5.9,2015-09-30,HG00129,UK1_analysisId_31,HG00129,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000031,GATK4.0
bwa-0.5.9,2015-09-30,HG00130,UK1_analysisId_32,HG00130,,1000G-low-coverage-WGS,https://www.nature.com/articles/nature15393,SRR00000032,GATK4.0
